trial_name,trial_id,subject_id,scenario,label_id,num_samples,sampling_rate_hz
trial_000000,0,SUBJ_001,fist_clench,1,1090,200
trial_000001,1,SUBJ_001,fist_clench,1,1090,200
trial_000002,2,SUBJ_001,fist_clench,1,1090,200
trial_000003,3,SUBJ_001,fist_clench,1,1090,200
trial_000004,4,SUBJ_001,fist_clench,1,1090,200
trial_000005,5,SUBJ_001,pinch_precision,2,1090,200
trial_000006,6,SUBJ_001,pinch_precision,2,1090,200
trial_000007,7,SUBJ_001,pinch_precision,2,1090,200
trial_000008,8,SUBJ_001,pinch_precision,2,1090,200
trial_000009,9,SUBJ_001,pinch_precision,2,1090,200
trial_000010,10,SUBJ_001,wrist_rotation_wave,3,1090,200
trial_000011,11,SUBJ_001,wrist_rotation_wave,3,1090,200
trial_000012,12,SUBJ_001,wrist_rotation_wave,3,1090,200
trial_000013,13,SUBJ_001,wrist_rotation_wave,3,1090,200
trial_000014,14,SUBJ_001,wrist_rotation_wave,3,1090,200
trial_000015,15,SUBJ_001,finger_tap,0,436,200
trial_000016,16,SUBJ_001,finger_tap,0,436,200
trial_000017,17,SUBJ_001,finger_tap,0,436,200
trial_000018,18,SUBJ_001,finger_tap,0,436,200
trial_000019,19,SUBJ_001,finger_tap,0,436,200
trial_000020,20,SUBJ_002,fist_clench,1,806,200
trial_000021,21,SUBJ_002,fist_clench,1,806,200
trial_000022,22,SUBJ_002,fist_clench,1,806,200
trial_000023,23,SUBJ_002,fist_clench,1,806,200
trial_000024,24,SUBJ_002,fist_clench,1,806,200
trial_000025,25,SUBJ_002,pinch_precision,2,806,200
trial_000026,26,SUBJ_002,pinch_precision,2,806,200
trial_000027,27,SUBJ_002,pinch_precision,2,806,200
trial_000028,28,SUBJ_002,pinch_precision,2,806,200
trial_000029,29,SUBJ_002,pinch_precision,2,806,200
trial_000030,30,SUBJ_002,wrist_rotation_wave,3,806,200
trial_000031,31,SUBJ_002,wrist_rotation_wave,3,806,200
trial_000032,32,SUBJ_002,wrist_rotation_wave,3,806,200
trial_000033,33,SUBJ_002,wrist_rotation_wave,3,806,200
trial_000034,34,SUBJ_002,wrist_rotation_wave,3,806,200
trial_000035,35,SUBJ_002,finger_tap,0,323,200
trial_000036,36,SUBJ_002,finger_tap,0,323,200
trial_000037,37,SUBJ_002,finger_tap,0,323,200
trial_000038,38,SUBJ_002,finger_tap,0,323,200
trial_000039,39,SUBJ_002,finger_tap,0,323,200
trial_000040,40,SUBJ_003,fist_clench,1,981,200
trial_000041,41,SUBJ_003,fist_clench,1,981,200
trial_000042,42,SUBJ_003,fist_clench,1,981,200
trial_000043,43,SUBJ_003,fist_clench,1,981,200
trial_000044,44,SUBJ_003,fist_clench,1,981,200
trial_000045,45,SUBJ_003,pinch_precision,2,981,200
trial_000046,46,SUBJ_003,pinch_precision,2,981,200
trial_000047,47,SUBJ_003,pinch_precision,2,981,200
trial_000048,48,SUBJ_003,pinch_precision,2,981,200
trial_000049,49,SUBJ_003,pinch_precision,2,981,200
trial_000050,50,SUBJ_003,wrist_rotation_wave,3,981,200
trial_000051,51,SUBJ_003,wrist_rotation_wave,3,981,200
trial_000052,52,SUBJ_003,wrist_rotation_wave,3,981,200
trial_000053,53,SUBJ_003,wrist_rotation_wave,3,981,200
trial_000054,54,SUBJ_003,wrist_rotation_wave,3,981,200
trial_000055,55,SUBJ_003,finger_tap,0,393,200
trial_000056,56,SUBJ_003,finger_tap,0,393,200
trial_000057,57,SUBJ_003,finger_tap,0,393,200
trial_000058,58,SUBJ_003,finger_tap,0,393,200
trial_000059,59,SUBJ_003,finger_tap,0,393,200
trial_000060,60,SUBJ_004,fist_clench,1,811,200
trial_000061,61,SUBJ_004,fist_clench,1,811,200
trial_000062,62,SUBJ_004,fist_clench,1,811,200
trial_000063,63,SUBJ_004,fist_clench,1,811,200
trial_000064,64,SUBJ_004,fist_clench,1,811,200
trial_000065,65,SUBJ_004,pinch_precision,2,811,200
trial_000066,66,SUBJ_004,pinch_precision,2,811,200
trial_000067,67,SUBJ_004,pinch_precision,2,811,200
trial_000068,68,SUBJ_004,pinch_precision,2,811,200
trial_000069,69,SUBJ_004,pinch_precision,2,811,200
trial_000070,70,SUBJ_004,wrist_rotation_wave,3,811,200
trial_000071,71,SUBJ_004,wrist_rotation_wave,3,811,200
trial_000072,72,SUBJ_004,wrist_rotation_wave,3,811,200
trial_000073,73,SUBJ_004,wrist_rotation_wave,3,811,200
trial_000074,74,SUBJ_004,wrist_rotation_wave,3,811,200
trial_000075,75,SUBJ_004,finger_tap,0,325,200
trial_000076,76,SUBJ_004,finger_tap,0,325,200
trial_000077,77,SUBJ_004,finger_tap,0,325,200
trial_000078,78,SUBJ_004,finger_tap,0,325,200
trial_000079,79,SUBJ_004,finger_tap,0,325,200
trial_000080,80,SUBJ_005,fist_clench,1,1076,200
trial_000081,81,SUBJ_005,fist_clench,1,1076,200
trial_000082,82,SUBJ_005,fist_clench,1,1076,200
trial_000083,83,SUBJ_005,fist_clench,1,1076,200
trial_000084,84,SUBJ_005,fist_clench,1,1076,200
trial_000085,85,SUBJ_005,pinch_precision,2,1076,200
trial_000086,86,SUBJ_005,pinch_precision,2,1076,200
trial_000087,87,SUBJ_005,pinch_precision,2,1076,200
trial_000088,88,SUBJ_005,pinch_precision,2,1076,200
trial_000089,89,SUBJ_005,pinch_precision,2,1076,200
trial_000090,90,SUBJ_005,wrist_rotation_wave,3,1076,200
trial_000091,91,SUBJ_005,wrist_rotation_wave,3,1076,200
trial_000092,92,SUBJ_005,wrist_rotation_wave,3,1076,200
trial_000093,93,SUBJ_005,wrist_rotation_wave,3,1076,200
trial_000094,94,SUBJ_005,wrist_rotation_wave,3,1076,200
trial_000095,95,SUBJ_005,finger_tap,0,431,200
trial_000096,96,SUBJ_005,finger_tap,0,431,200
trial_000097,97,SUBJ_005,finger_tap,0,431,200
trial_000098,98,SUBJ_005,finger_tap,0,431,200
trial_000099,99,SUBJ_005,finger_tap,0,431,200
trial_000100,100,SUBJ_006,fist_clench,1,766,200
trial_000101,101,SUBJ_006,fist_clench,1,766,200
trial_000102,102,SUBJ_006,fist_clench,1,766,200
trial_000103,103,SUBJ_006,fist_clench,1,766,200
trial_000104,104,SUBJ_006,fist_clench,1,766,200
trial_000105,105,SUBJ_006,pinch_precision,2,766,200
trial_000106,106,SUBJ_006,pinch_precision,2,766,200
trial_000107,107,SUBJ_006,pinch_precision,2,766,200
trial_000108,108,SUBJ_006,pinch_precision,2,766,200
trial_000109,109,SUBJ_006,pinch_precision,2,766,200
trial_000110,110,SUBJ_006,wrist_rotation_wave,3,766,200
trial_000111,111,SUBJ_006,wrist_rotation_wave,3,766,200
trial_000112,112,SUBJ_006,wrist_rotation_wave,3,766,200
trial_000113,113,SUBJ_006,wrist_rotation_wave,3,766,200
trial_000114,114,SUBJ_006,wrist_rotation_wave,3,766,200
trial_000115,115,SUBJ_006,finger_tap,0,307,200
trial_000116,116,SUBJ_006,finger_tap,0,307,200
trial_000117,117,SUBJ_006,finger_tap,0,307,200
trial_000118,118,SUBJ_006,finger_tap,0,307,200
trial_000119,119,SUBJ_006,finger_tap,0,307,200
trial_000120,120,SUBJ_007,fist_clench,1,990,200
trial_000121,121,SUBJ_007,fist_clench,1,990,200
trial_000122,122,SUBJ_007,fist_clench,1,990,200
trial_000123,123,SUBJ_007,fist_clench,1,990,200
trial_000124,124,SUBJ_007,fist_clench,1,990,200
trial_000125,125,SUBJ_007,pinch_precision,2,990,200
trial_000126,126,SUBJ_007,pinch_precision,2,990,200
trial_000127,127,SUBJ_007,pinch_precision,2,990,200
trial_000128,128,SUBJ_007,pinch_precision,2,990,200
trial_000129,129,SUBJ_007,pinch_precision,2,990,200
trial_000130,130,SUBJ_007,wrist_rotation_wave,3,990,200
trial_000131,131,SUBJ_007,wrist_rotation_wave,3,990,200
trial_000132,132,SUBJ_007,wrist_rotation_wave,3,990,200
trial_000133,133,SUBJ_007,wrist_rotation_wave,3,990,200
trial_000134,134,SUBJ_007,wrist_rotation_wave,3,990,200
trial_000135,135,SUBJ_007,finger_tap,0,396,200
trial_000136,136,SUBJ_007,finger_tap,0,396,200
trial_000137,137,SUBJ_007,finger_tap,0,396,200
trial_000138,138,SUBJ_007,finger_tap,0,396,200
trial_000139,139,SUBJ_007,finger_tap,0,396,200
trial_000140,140,SUBJ_008,fist_clench,1,921,200
trial_000141,141,SUBJ_008,fist_clench,1,921,200
trial_000142,142,SUBJ_008,fist_clench,1,921,200
trial_000143,143,SUBJ_008,fist_clench,1,921,200
trial_000144,144,SUBJ_008,fist_clench,1,921,200
trial_000145,145,SUBJ_008,pinch_precision,2,921,200
trial_000146,146,SUBJ_008,pinch_precision,2,921,200
trial_000147,147,SUBJ_008,pinch_precision,2,921,200
trial_000148,148,SUBJ_008,pinch_precision,2,921,200
trial_000149,149,SUBJ_008,pinch_precision,2,921,200
trial_000150,150,SUBJ_008,wrist_rotation_wave,3,921,200
trial_000151,151,SUBJ_008,wrist_rotation_wave,3,921,200
trial_000152,152,SUBJ_008,wrist_rotation_wave,3,921,200
trial_000153,153,SUBJ_008,wrist_rotation_wave,3,921,200
trial_000154,154,SUBJ_008,wrist_rotation_wave,3,921,200
trial_000155,155,SUBJ_008,finger_tap,0,369,200
trial_000156,156,SUBJ_008,finger_tap,0,369,200
trial_000157,157,SUBJ_008,finger_tap,0,369,200
trial_000158,158,SUBJ_008,finger_tap,0,369,200
trial_000159,159,SUBJ_008,finger_tap,0,369,200
trial_000160,160,SUBJ_009,fist_clench,1,883,200
trial_000161,161,SUBJ_009,fist_clench,1,883,200
trial_000162,162,SUBJ_009,fist_clench,1,883,200
trial_000163,163,SUBJ_009,fist_clench,1,883,200
trial_000164,164,SUBJ_009,fist_clench,1,883,200
trial_000165,165,SUBJ_009,pinch_precision,2,883,200
trial_000166,166,SUBJ_009,pinch_precision,2,883,200
trial_000167,167,SUBJ_009,pinch_precision,2,883,200
trial_000168,168,SUBJ_009,pinch_precision,2,883,200
trial_000169,169,SUBJ_009,pinch_precision,2,883,200
trial_000170,170,SUBJ_009,wrist_rotation_wave,3,883,200
trial_000171,171,SUBJ_009,wrist_rotation_wave,3,883,200
trial_000172,172,SUBJ_009,wrist_rotation_wave,3,883,200
trial_000173,173,SUBJ_009,wrist_rotation_wave,3,883,200
trial_000174,174,SUBJ_009,wrist_rotation_wave,3,883,200
trial_000175,175,SUBJ_009,finger_tap,0,353,200
trial_000176,176,SUBJ_009,finger_tap,0,353,200
trial_000177,177,SUBJ_009,finger_tap,0,353,200
trial_000178,178,SUBJ_009,finger_tap,0,353,200
trial_000179,179,SUBJ_009,finger_tap,0,353,200
trial_000180,180,SUBJ_010,fist_clench,1,1287,200
trial_000181,181,SUBJ_010,fist_clench,1,1287,200
trial_000182,182,SUBJ_010,fist_clench,1,1287,200
trial_000183,183,SUBJ_010,fist_clench,1,1287,200
trial_000184,184,SUBJ_010,fist_clench,1,1287,200
trial_000185,185,SUBJ_010,pinch_precision,2,1287,200
trial_000186,186,SUBJ_010,pinch_precision,2,1287,200
trial_000187,187,SUBJ_010,pinch_precision,2,1287,200
trial_000188,188,SUBJ_010,pinch_precision,2,1287,200
trial_000189,189,SUBJ_010,pinch_precision,2,1287,200
trial_000190,190,SUBJ_010,wrist_rotation_wave,3,1287,200
trial_000191,191,SUBJ_010,wrist_rotation_wave,3,1287,200
trial_000192,192,SUBJ_010,wrist_rotation_wave,3,1287,200
trial_000193,193,SUBJ_010,wrist_rotation_wave,3,1287,200
trial_000194,194,SUBJ_010,wrist_rotation_wave,3,1287,200
trial_000195,195,SUBJ_010,finger_tap,0,515,200
trial_000196,196,SUBJ_010,finger_tap,0,515,200
trial_000197,197,SUBJ_010,finger_tap,0,515,200
trial_000198,198,SUBJ_010,finger_tap,0,515,200
trial_000199,199,SUBJ_010,finger_tap,0,515,200
trial_000200,200,SUBJ_011,fist_clench,1,1177,200
trial_000201,201,SUBJ_011,fist_clench,1,1177,200
trial_000202,202,SUBJ_011,fist_clench,1,1177,200
trial_000203,203,SUBJ_011,fist_clench,1,1177,200
trial_000204,204,SUBJ_011,fist_clench,1,1177,200
trial_000205,205,SUBJ_011,pinch_precision,2,1177,200
trial_000206,206,SUBJ_011,pinch_precision,2,1177,200
trial_000207,207,SUBJ_011,pinch_precision,2,1177,200
trial_000208,208,SUBJ_011,pinch_precision,2,1177,200
trial_000209,209,SUBJ_011,pinch_precision,2,1177,200
trial_000210,210,SUBJ_011,wrist_rotation_wave,3,1177,200
trial_000211,211,SUBJ_011,wrist_rotation_wave,3,1177,200
trial_000212,212,SUBJ_011,wrist_rotation_wave,3,1177,200
trial_000213,213,SUBJ_011,wrist_rotation_wave,3,1177,200
trial_000214,214,SUBJ_011,wrist_rotation_wave,3,1177,200
trial_000215,215,SUBJ_011,finger_tap,0,471,200
trial_000216,216,SUBJ_011,finger_tap,0,471,200
trial_000217,217,SUBJ_011,finger_tap,0,471,200
trial_000218,218,SUBJ_011,finger_tap,0,471,200
